Identifier,Code,Start_Year,End_Year,Public,Type,Name_En,Name_Fr,Name_Es,Name_Ar,Name_Zh,Name_Ru,ShortName_En,ShortName_Fr,ShortName_Es,ShortName_Ar,ShortName_Zh,ShortName_Ru,Definition,ScopeNote,HistoryNote,EditorialNote,SubSet
4,AFA,1925,2002,,,Afghani,Afghani,Afghani,,,,Afghani,Afghani,Afghani,,,,,,,,
8,ALL,1965,,,,Lek,Lek,Lek,,,,Lek,Lek,Lek,,,,,,,Start Date removed in SWS,
12,DZD,,,,,Algerian Dinar,Dinar algérien,Dinar argelino,,,,Algerian Dinar,Dinar algérien,Dinar argelino,,,,,,,,
20,ADP,1869,2001,,,Andorran Peseta,Andorran Peseta,Andorran Peseta,,,,Andorran Peseta,Andorran Peseta,Andorran Peseta,,,,,,,,
24,AON,1990,1995,,,New Kwanza,New Kwanza,New Kwanza,,,,New Kwanza,New Kwanza,New Kwanza,,,,,,,,
31,AZM,1992,2005,,,Azerbaijan Manat,Manat,Manat,,,,Azerbaijan Manat,Manat,Manat,,,,,,,,
32,ARS,1992,,,,Argentine Peso,Peso argentin,Peso argentino,,,,Argentine Peso,Peso argentin,Peso argentino,,,,,,,Start Date removed in SWS,
36,AUD,,,,,Australian Dollar,Dollar australien,Dólar australiano,,,,Australian Dollar,Dollar australien,Dólar australiano,,,,,,,,
40,ATS,,1998,,,Schilling,Schilling,Schilling,,,,Schilling,Schilling,Schilling,,,,,,,,
44,BSD,,,,,Bahamian Dollar,Dollar des Bahamas,Dólar de las Bahamas,,,,Bahamian Dollar,Dollar des Bahamas,Dólar de las Bahamas,,,,,,,,
48,BHD,,,,,Bahraini Dinar,Dinar de Bahreïn,Dinar de Bahrein,,,,Bahraini Dinar,Dinar de Bahreïn,Dinar de Bahrein,,,,,,,,
50,BDT,,,,,Taka,Taka,Taka,,,,Taka,Taka,Taka,,,,,,,,
51,AMD,,,,,Armenian Dram,Dram arménien,Dram armeniano,,,,Armenian Dram,Dram arménien,Dram armeniano,,,,,,,,
52,BBD,,,,,Barbados Dollar,Dollar de Barbade,Dólar de Barbados,,,,Barbados Dollar,Dollar de Barbade,Dólar de Barbados,,,,,,,,
56,BEF,,1998,,,Belgian Franc,Franc belge,Franco belga,,,,Belgian Franc,Franc belge,Franco belga,,,,,,,,
60,BMD,,,,,Bermudian Dollar,Dollar des Bermudes,Dólar de Bermudas,,,,Bermudian Dollar,Dollar des Bermudes,Dólar de Bermudas,,,,,,,,
64,BTN,,,,,Ngultrum,Ngultrum,Ngultrum,,,,Ngultrum,Ngultrum,Ngultrum,,,,,,,,
68,BOB,1987,,,,Boliviano,Boliviano,Boliviano,,,,Boliviano,Boliviano,Boliviano,,,,,,,Start Date removed in SWS,
70,BAD,1992,1998,,,Bosnia and Herzegovina dinar,Bosnia and Herzegovina dinar,Bosnia and Herzegovina dinar,,,,Bosnia and Herzegovina dinar,Bosnia and Herzegovina dinar,Bosnia and Herzegovina dinar,,,,,,,,
72,BWP,,,,,Pula,Pula,Pula,,,,Pula,Pula,Pula,,,,,,,,
76,BRR,1993,1994,,,Cruziero Real,Cruziero Real,Cruziero Real,,,,Cruziero Real,Cruziero Real,Cruziero Real,,,,,,,,
84,BZD,,,,,Belize Dollar,Dollar de Belize,Dólar de Belice,,,,Belize Dollar,Dollar de Belize,Dólar de Belice,,,,,,,,
90,SBD,,,,,Solomon Islands Dollar,Dollar de Salomon,Dólar de las Islas Salomón,,,,Solomon Islands Dollar,Dollar de Salomon,Dólar de las Islas Salomón,,,,,,,,
96,BND,,,,,Brunei Dollar,Dollar de Brunei,Dólar de Brunei,,,,Brunei Dollar,Dollar de Brunei,Dólar de Brunei,,,,,,,,
100,BGL,1962,1999,,,Bulgarian Lev,Bulgarian Lev,Bulgarian Lev,,,,Bulgarian Lev,Bulgarian Lev,Bulgarian Lev,,,,,,,,
104,MMK,1990,,,,Kyat,Kyat,Kyat,,,,Kyat,Kyat,Kyat,,,,,,,Start Date removed in SWS,
108,BIF,,,,,Burundi Franc,Franc du Burundi,Franco burundí,,,,Burundi Franc,Franc du Burundi,Franco burundí,,,,,,,,
112,BYB,1992,1999,,,Belarusian Ruble,Belarusian Ruble,Belarusian Ruble,,,,Belarusian Ruble,Belarusian Ruble,Belarusian Ruble,,,,,,,,
116,KHR,,,,,Riel,Riel,Riel,,,,Riel,Riel,Riel,,,,,,,,
124,CAD,,,,,Canadian Dollar,Dollar canadien,Dólar canadiense,,,,Canadian Dollar,Dollar canadien,Dólar canadiense,,,,,,,,
132,CVE,,,,,Cabo Verde Escudo,Escudo du Cabo Verde,Escudo de Cabo Verde,,,,Cabo Verde Escudo,Escudo du Cabo Verde,Escudo de Cabo Verde,,,,,,,,
136,KYD,,,,,Cayman Islands Dollar,Dollar des Îles Caïmanes,Dólar de las Islas Caimán,,,,Cayman Islands Dollar,Dollar des Îles Caïmanes,Dólar de las Islas Caimán,,,,,,,,
144,LKR,,,,,Sri Lanka Rupee,Roupie de Sri Lanka,Rupia de Sri Lanka,,,,Sri Lanka Rupee,Roupie de Sri Lanka,Rupia de Sri Lanka,,,,,,,,
152,CLP,,,,,Chilean Peso,Peso chilien,Peso chileno,,,,Chilean Peso,Peso chilien,Peso chileno,,,,,,,,
156,CNY,,,,,Yuan Renminbi,Yuan Ren-Min-Bi,Yuan Renminbi,,,,Yuan Renminbi,Yuan Ren-Min-Bi,Yuan Renminbi,,,,,,,,
170,COP,,,,,Colombian Peso,Peso colombien,Peso colombiano,,,,Colombian Peso,Peso colombien,Peso colombiano,,,,,,,,
174,KMF,,,,,Comorian Franc ,Franc des Comores,Franco comorano,,,,Comorian Franc ,Franc des Comores,Franco comorano,,,,,,,,
180,ZRN,1993,1997,,,New Zaire,New Zaire,New Zaire,,,,New Zaire,New Zaire,New Zaire,,,,,,,,
188,CRC,,,,,Costa Rican Colon,Colón de Costa Rica,Colón costarricense,,,,Costa Rican Colon,Colón de Costa Rica,Colón costarricense,,,,,,,,
191,HRK,1995,,,,Kuna,Kuna croate,Kuna croata,,,,Kuna,Kuna croate,Kuna croata,,,,,,,Start Date removed in SWS,
192,CUP,,,,,Cuban Peso,Peso cubain,Peso cubano,,,,Cuban Peso,Peso cubain,Peso cubano,,,,,,,,
196,CYP,,2005,,,Cypriot Pound,Livre cypriote,Libra chipriota,,,,Cypriot Pound,Livre cypriote,Libra chipriota,,,,,,,,
200,CSK,,1993,,,Czechoslovak Koruna,Czechoslovak Koruna,Czechoslovak Koruna,,,,Czechoslovak Koruna,Czechoslovak Koruna,Czechoslovak Koruna,,,,,,,,
203,CZK,1993,,,,Czech Koruna,Couronne tchèque,Corona checa,,,,Czech Koruna,Couronne tchèque,Corona checa,,,,,,,Start Date removed in SWS,
208,DKK,,,,,Danish Krone,Couronne danoise,Corona danesa,,,,Danish Krone,Couronne danoise,Corona danesa,,,,,,,,
214,DOP,,,,,Dominican Peso,Peso dominicain,Peso dominicano,,,,Dominican Peso,Peso dominicain,Peso dominicano,,,,,,,,
218,ECS,,2000,,,Ecuadorian Sucre,Ecuadorian Sucre,Ecuadorian Sucre,,,,Ecuadorian Sucre,Ecuadorian Sucre,Ecuadorian Sucre,,,,,,,,
222,SVC,1891,2001,,,El Salvador Colon,Colón du El Salvador,Colón salvadoreño,,,,El Salvador Colon,Colón du El Salvador,Colón salvadoreño,,,,,,,,
226,GQE,1975,1985,,,Ekwele,Ekwele,Ekwele,,,,Ekwele,Ekwele,Ekwele,,,,,,,,
230,ETB,,,,,Ethiopian Birr,Birr éthiopien,Birr etiopiano,,,,Ethiopian Birr,Birr éthiopien,Birr etiopiano,,,,,,,,
232,ERN,1998,,,,Nakfa,Nakfa,Nakfa,,,,Nakfa,Nakfa,Nakfa,,,,,,,Start Date removed in SWS,
233,EEK,,2010,,,Kroon,Couronne estonienne,Corona estoniana,,,,Kroon,Couronne estonienne,Corona estoniana,,,,,,,,
238,FKP,,,,,Falkland Islands Pound,Livre de Falkland,Libra de las Islas Malvinas,,,,Falkland Islands Pound,Livre de Falkland,Libra de las Islas Malvinas,,,,,,,,
242,FJD,,,,,Fiji Dollar,Dollar de Fidji,Dólar de Fiji,,,,Fiji Dollar,Dollar de Fidji,Dólar de Fiji,,,,,,,,
246,FIM,,1998,,,Markka,Markka,Markka,,,,Markka,Markka,Markka,,,,,,,,
250,FRF,,1998,,,French Franc,French Franc,French Franc,,,,French Franc,French Franc,French Franc,,,,,,,,
262,DJF,,,,,Djibouti Franc,Franc de Djibouti,Franco de Djibouti,,,,Djibouti Franc,Franc de Djibouti,Franco de Djibouti,,,,,,,,
270,GMD,,,,,Dalasi,Dalasi,Dalasi,,,,Dalasi,Dalasi,Dalasi,,,,,,,,
276,DEM,,1998,,,Deutsche Mark,Deutsche Mark,Deutsche Mark,,,,Deutsche Mark,Deutsche Mark,Deutsche Mark,,,,,,,,
278,DDM,,1990,,,Mark der DDR,Mark der DDR,Mark der DDR,,,,Mark der DDR,Mark der DDR,Mark der DDR,,,,,,,,
288,GHC,1967,2007,,,Cedi,Cedi,Cedi,,,,Cedi,Cedi,Cedi,,,,,,,,
292,GIP,,,,,Gibraltar Pound,Livre de Gibraltar,Libra de Gibraltar,,,,Gibraltar Pound,Livre de Gibraltar,Libra de Gibraltar,,,,,,,,
300,GRD,1954,2000,,,Drachma,Drachma,Drachma,,,,Drachma,Drachma,Drachma,,,,,,,,
320,GTQ,,,,,Quetzal,Quetzal,Quetzal,,,,Quetzal,Quetzal,Quetzal,,,,,,,,
324,GNF,1986,,,,Guinean Franc,Franc guinéen,Franco de Guinea,,,,Guinean Franc,Franc guinéen,Franco de Guinea,,,,,,,Start Date removed in SWS,
328,GYD,,,,,Guyana Dollar,Dollar de Guyane,Dólar de Guyana,,,,Guyana Dollar,Dollar de Guyane,Dólar de Guyana,,,,,,,,
332,HTG,,,,,Gourde,Gourde,Gourde,,,,Gourde,Gourde,Gourde,,,,,,,,
340,HNL,,,,,Lempira,Lempira,Lempira,,,,Lempira,Lempira,Lempira,,,,,,,,
344,HKD,,,,,Hong Kong Dollar,Dollar de Hong-Kong,Dólar de Hong Kong,,,,Hong Kong Dollar,Dollar de Hong-Kong,Dólar de Hong Kong,,,,,,,,
348,HUF,,,,,Forint,Forint,Forint,,,,Forint,Forint,Forint,,,,,,,,
352,ISK,1981,,,,Iceland Krona,Couronne islandaise,Corona islandesa,,,,Iceland Krona,Couronne islandaise,Corona islandesa,,,,,,,Start Date removed in SWS,
356,INR,,,,,Indian Rupee,Roupie indienne,Rupia india,,,,Indian Rupee,Roupie indienne,Rupia india,,,,,,,,
360,IDR,,,,,Rupiah,Rupiah,Rupia,,,,Rupiah,Rupiah,Rupia,,,,,,,,
364,IRR,,,,,Iranian Rial,Rial iranien,Rial iraní,,,,Iranian Rial,Rial iranien,Rial iraní,,,,,,,,
368,IQD,,,,,Iraqi Dinar,Dinar iraquien,Dinar iraquí,,,,Iraqi Dinar,Dinar iraquien,Dinar iraquí,,,,,,,,
372,IEP,1938,1998,,,Irish Pound,Irish Pound,Irish Pound,,,,Irish Pound,Irish Pound,Irish Pound,,,,,,,,
376,ILS,1986,,,,New Israeli Sheqel,Nouveau israëli sheqel,Nuevo israelí sheqel,,,,New Israeli Sheqel,Nouveau israëli sheqel,Nuevo israelí sheqel,,,,,,,Start Date removed in SWS,
